EventName,Country,Location,Year,StartTime,lat,lon,temperature_2m,apparent_temperature,relative_humidity_2m,dew_point_2m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,surface_pressure,wind_speed_10m,wind_gusts_10m,wind_direction_10m,condition,is_wet,track_air_delta
British Grand Prix,Great Britain,Silverstone,2020,2020-08-02 13:10:00+00:00,52.072,-1.017,20.4,17.9,45,8.1,0.0,0.0,0.0,0.0,1,32,998.2,17.9,36.0,255,Mainly clear,False,
70th Anniversary Grand Prix,Great Britain,Silverstone,2020,2020-08-09 13:10:00+00:00,52.072,-1.017,25.2,26.2,60,16.9,0.0,0.0,0.0,0.0,1,23,1000.7,11.6,27.0,64,Mainly clear,False,
Spanish Grand Prix,Spain,Barcelona,2020,2020-08-16 13:10:00+00:00,41.569,2.259,27.4,29.8,61,19.2,0.3,0.3,0.0,0.0,51,34,997.7,13.9,36.4,163,Light drizzle,True,
Belgian Grand Prix,Belgium,Spa-Francorchamps,2020,2020-08-30 13:10:00+00:00,50.436,5.971,16.8,15.2,67,10.6,0.3,0.3,0.0,0.0,51,100,966.3,12.4,27.0,306,Light drizzle,True,
Italian Grand Prix,Italy,Monza,2020,2020-09-06 13:10:00+00:00,45.621,9.29,26.0,27.6,52,15.4,0.0,0.0,0.0,0.0,0,12,990.8,5.0,18.0,120,Clear sky,False,
Tuscan Grand Prix,Italy,Mugello,2020,2020-09-13 13:10:00+00:00,43.998,11.372,29.8,30.1,41,15.0,0.0,0.0,0.0,0.0,0,0,993.4,14.3,37.1,28,Clear sky,False,
Russian Grand Prix,Russia,Sochi,2020,2020-09-27 11:10:00+00:00,43.407,39.96,29.4,30.8,45,16.1,0.0,0.0,0.0,0.0,0,0,1012.5,7.3,26.3,171,Clear sky,False,
Eifel Grand Prix,Germany,Nürburgring,2020,2020-10-11 12:10:00+00:00,50.334,6.943,8.5,4.6,58,0.6,0.0,0.0,0.0,0.0,2,60,947.8,13.1,31.0,302,Partly cloudy,False,
Portuguese Grand Prix,Portugal,Portimão,2020,2020-10-25 13:10:00+00:00,37.232,-8.628,20.1,17.7,68,14.1,0.0,0.0,0.0,0.0,3,97,1006.8,25.7,55.4,248,Overcast,False,
Emilia Romagna Grand Prix,Italy,Imola,2020,2020-11-01 12:10:00+00:00,44.341,11.713,17.8,17.5,67,11.6,0.0,0.0,0.0,0.0,3,100,1015.6,5.6,17.3,315,Overcast,False,
Turkish Grand Prix,Turkey,Istanbul,2020,2020-11-15 10:10:00+00:00,40.958,29.412,12.9,11.6,80,9.6,0.1,0.1,0.0,0.0,51,77,1008.6,8.8,22.3,19,Light drizzle,False,
Bahrain Grand Prix,Bahrain,Sakhir,2020,2020-11-29 14:10:00+00:00,26.031,50.512,26.0,25.8,44,12.9,0.0,0.0,0.0,0.0,1,32,1014.4,7.9,20.5,150,Mainly clear,False,
Sakhir Grand Prix,Bahrain,Sakhir,2020,2020-12-06 17:10:00+00:00,26.031,50.512,20.3,18.0,72,15.1,0.0,0.0,0.0,0.0,0,0,1014.4,27.5,42.1,316,Clear sky,False,
Abu Dhabi Grand Prix,Abu Dhabi,Yas Marina,2020,2020-12-13 13:10:00+00:00,24.471,54.601,23.0,21.2,51,12.3,0.0,0.0,0.0,0.0,0,15,1015.3,17.2,29.2,327,Clear sky,False,
Bahrain Grand Prix,Bahrain,Sakhir,2021,2021-03-28 15:00:00+00:00,26.031,50.512,20.2,15.4,56,11.1,0.0,0.0,0.0,0.0,0,0,1014.2,35.6,57.6,333,Clear sky,False,
Emilia Romagna Grand Prix,Italy,Imola,2021,2021-04-18 13:00:00+00:00,44.341,11.713,12.1,9.1,50,2.0,0.0,0.0,0.0,0.0,3,92,1009.2,8.2,31.7,75,Overcast,False,
Portuguese Grand Prix,Portugal,Portimão,2021,2021-05-02 14:00:00+00:00,37.232,-8.628,19.3,18.6,41,5.6,0.0,0.0,0.0,0.0,3,99,1003.3,11.6,28.4,353,Overcast,False,
Spanish Grand Prix,Spain,Barcelona,2021,2021-05-09 13:00:00+00:00,41.569,2.259,21.2,20.8,59,12.9,0.0,0.0,0.0,0.0,3,99,994.1,10.1,28.8,86,Overcast,False,
