Year,EventName,Country,Location,StartTime,lat,lon,wet_at_start_confirmed
2022,Italian Grand Prix,Italy,Monza,2022-09-11 13:00:00+00:00,45.621,9.29,False
2022,Singapore Grand Prix,Singapore,Singapore,2022-10-02 12:00:00+00:00,1.291,103.859,True
2022,Japanese Grand Prix,Japan,Suzuka,2022-10-09 05:00:00+00:00,34.844,136.534,True
2022,United States Grand Prix,United States,Austin,2022-10-23 19:00:00+00:00,30.135,-97.633,False
2022,Mexico City Grand Prix,Mexico,Mexico City,2022-10-30 20:00:00+00:00,19.402,-99.091,False
2022,São Paulo Grand Prix,Brazil,São Paulo,2022-11-13 18:00:00+00:00,-23.702,-46.698,False
2022,Abu Dhabi Grand Prix,Abu Dhabi,Yas Marina,2022-11-20 13:00:00+00:00,24.471,54.601,False
2023,Bahrain Grand Prix,Bahrain,Sakhir,2023-03-05 15:00:00+00:00,26.031,50.512,False
2023,Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2023-03-19 17:00:00+00:00,21.632,39.104,False
2023,Australian Grand Prix,Australia,Melbourne,2023-04-02 05:00:00+00:00,-37.846,144.97,False
2023,Azerbaijan Grand Prix,Azerbaijan,Baku,2023-04-30 11:00:00+00:00,40.369,49.842,False
2023,Miami Grand Prix,United States,Miami,2023-05-07 19:30:00+00:00,25.958,-80.239,False
2023,Monaco Grand Prix,Monaco,Monaco,2023-05-28 13:00:00+00:00,43.737,7.429,False
2023,Spanish Grand Prix,Spain,Barcelona,2023-06-04 13:00:00+00:00,41.569,2.259,False
2023,Canadian Grand Prix,Canada,Montréal,2023-06-18 18:00:00+00:00,45.506,-73.525,False
2023,Austrian Grand Prix,Austria,Spielberg,2023-07-02 13:00:00+00:00,47.223,14.761,False
2023,British Grand Prix,Great Britain,Silverstone,2023-07-09 14:00:00+00:00,52.072,-1.017,False
2023,Hungarian Grand Prix,Hungary,Budapest,2023-07-23 13:00:00+00:00,47.583,19.25,False
2023,Belgian Grand Prix,Belgium,Spa-Francorchamps,2023-07-30 13:00:00+00:00,50.436,5.971,False
2023,Dutch Grand Prix,Netherlands,Zandvoort,2023-08-27 13:00:00+00:00,52.389,4.541,False
2023,Italian Grand Prix,Italy,Monza,2023-09-03 13:00:00+00:00,45.621,9.29,False
2023,Singapore Grand Prix,Singapore,Singapore,2023-09-17 12:00:00+00:00,1.291,103.859,False
2023,Japanese Grand Prix,Japan,Suzuka,2023-09-24 05:00:00+00:00,34.844,136.534,False
2023,Qatar Grand Prix,Qatar,Lusail,2023-10-08 17:00:00+00:00,25.49,51.454,False
2023,United States Grand Prix,United States,Austin,2023-10-22 19:00:00+00:00,30.135,-97.633,False
2023,Mexico City Grand Prix,Mexico,Mexico City,2023-10-29 20:00:00+00:00,19.402,-99.091,False
