EventName,Country,Location,StartTime,Year,lon,lat
British Grand Prix,Great Britain,Silverstone,2023-07-09 14:00:00,2023,-1.017,52.072
Hungarian Grand Prix,Hungary,Budapest,2023-07-23 13:00:00,2023,19.25,47.583
Belgian Grand Prix,Belgium,Spa-Francorchamps,2023-07-30 13:00:00,2023,5.971,50.436
Dutch Grand Prix,Netherlands,Zandvoort,2023-08-27 13:00:00,2023,4.541,52.389
Italian Grand Prix,Italy,Monza,2023-09-03 13:00:00,2023,9.29,45.621
Singapore Grand Prix,Singapore,Singapore,2023-09-17 12:00:00,2023,103.859,1.291
Japanese Grand Prix,Japan,Suzuka,2023-09-24 05:00:00,2023,136.534,34.844
Qatar Grand Prix,Qatar,Lusail,2023-10-08 17:00:00,2023,51.454,25.49
United States Grand Prix,United States,Austin,2023-10-22 19:00:00,2023,-97.633,30.135
Mexico City Grand Prix,Mexico,Mexico City,2023-10-29 20:00:00,2023,-99.091,19.402
São Paulo Grand Prix,Brazil,São Paulo,2023-11-05 17:00:00,2023,-46.698,-23.702
Las Vegas Grand Prix,United States,Las Vegas,2023-11-19 06:00:00,2023,-115.168,36.116
Abu Dhabi Grand Prix,Abu Dhabi,Yas Marina,2023-11-26 13:00:00,2023,54.601,24.471
Bahrain Grand Prix,Bahrain,Sakhir,2024-03-02 15:00:00,2024,50.512,26.031
Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2024-03-09 17:00:00,2024,39.104,21.632
Australian Grand Prix,Australia,Melbourne,2024-03-24 04:00:00,2024,144.97,-37.846
Japanese Grand Prix,Japan,Suzuka,2024-04-07 05:00:00,2024,136.534,34.844
Chinese Grand Prix,China,Shanghai,2024-04-21 07:00:00,2024,121.221,31.34
Miami Grand Prix,United States,Miami,2024-05-05 20:00:00,2024,-80.239,25.958
Emilia Romagna Grand Prix,Italy,Imola,2024-05-19 13:00:00,2024,11.713,44.341
Monaco Grand Prix,Monaco,Monaco,2024-05-26 13:00:00,2024,7.429,43.737
Canadian Grand Prix,Canada,Montréal,2024-06-09 18:00:00,2024,-73.525,45.506
Spanish Grand Prix,Spain,Barcelona,2024-06-23 13:00:00,2024,2.259,41.569
Austrian Grand Prix,Austria,Spielberg,2024-06-30 13:00:00,2024,14.761,47.223
British Grand Prix,United Kingdom,Silverstone,2024-07-07 14:00:00,2024,-1.017,52.072
Hungarian Grand Prix,Hungary,Budapest,2024-07-21 13:00:00,2024,19.25,47.583
Belgian Grand Prix,Belgium,Spa-Francorchamps,2024-07-28 13:00:00,2024,5.971,50.436
Dutch Grand Prix,Netherlands,Zandvoort,2024-08-25 13:00:00,2024,4.541,52.389
Italian Grand Prix,Italy,Monza,2024-09-01 13:00:00,2024,9.29,45.621
Azerbaijan Grand Prix,Azerbaijan,Baku,2024-09-15 11:00:00,2024,49.842,40.369
Singapore Grand Prix,Singapore,Singapore,2024-09-22 12:00:00,2024,103.859,1.291
United States Grand Prix,United States,Austin,2024-10-20 19:00:00,2024,-97.633,30.135
Mexico City Grand Prix,Mexico,Mexico City,2024-10-27 20:00:00,2024,-99.091,19.402
São Paulo Grand Prix,Brazil,São Paulo,2024-11-03 15:30:00,2024,-46.698,-23.702
Las Vegas Grand Prix,United States,Las Vegas,2024-11-24 06:00:00,2024,-115.168,36.116
Qatar Grand Prix,Qatar,Lusail,2024-12-01 16:00:00,2024,51.454,25.49
Abu Dhabi Grand Prix,United Arab Emirates,Yas Marina,2024-12-08 13:00:00,2024,54.601,24.471
Australian Grand Prix,Australia,Melbourne,2025-03-16 04:00:00,2025,144.97,-37.846
Chinese Grand Prix,China,Shanghai,2025-03-23 07:00:00,2025,121.221,31.34
Japanese Grand Prix,Japan,Suzuka,2025-04-06 05:00:00,2025,136.534,34.844
Bahrain Grand Prix,Bahrain,Sakhir,2025-04-13 15:00:00,2025,50.512,26.031
Saudi Arabian Grand Prix,Saudi Arabia,Jeddah,2025-04-20 17:00:00,2025,39.104,21.632
Miami Grand Prix,United States,Miami,2025-05-04 20:00:00,2025,-80.239,25.958
